original,original_label,perturbation_type,domain_fusion,lexical,temporal
"The 109th edition of the Paris–Tours cycling classic was held on 11 October 2015. The race was part of the 2015 UCI Europe Tour, ranked as a 1.HC event. Italian rider Matteo Trentin won the race in a three-man sprint with Belgians Tosh Van der Sande and Greg Van Avermaet. At an average speed of 49.64 km/h (30.84 mph), it was the fastest edition",1,PM,"The 109th edition of the Paris–Tours cycling classic was the pièce de résistance, unfolding on 11 October 2015, with Italian rider Matteo Trentin expertly whisking the competition in a three-man sprint, outpacing Belgians Tosh Van der Sande and Greg Van Avermaet, at an average speed of 49.64 km/h (30.84 mph), the fastest edition yet, a true culinary masterpiece of strategy and endurance.","The 109th édition of the Päris–Tours cyclïng classic was held on 11 Octöber 2015. The raçe was part of the 2015 UCI Europë Tour, ranked as a 1.HC évènt. Italïan rider Matteo Trëntin won the raçe in a thrëe-man sprint with Belgïans Tosh Vän der Sandë and Grëg Vän Avermäet. At an averäge speed of 49.64 km/h (30.84 mph), it was the fastëst édition.","In days of yore, the 109th iteration of the venerable Paris-Tours cycling classic transpired on the eleventh of October, 1915. The contest formed part of the 1915 UCI Europe Tour, esteemed as a 1.HC event. The Italian velocipedist Matteo Trentin emerged victorious in a spirited three-man dash alongside the Belgians Tosh Van der Sande and Greg Van Avermaet. Markedly, the average velocity of 49.64 km/h (30.84 mph) established it as the swiftest edition on record."
"The 2024 Scottish Challenge Cup final, also known as the SPFL Trust Trophy final for sponsorship reasons, was a football match on 24 March 2024 between the Cymru Premier club The New Saints and the Scottish Championship side Airdrieonians. It was the 31st final of the Scottish Challenge Cup since it was first organised in 1990 to celebrate the centenary of the now defunct",0,PNM,"The 2024 Scottish Challenge Cup final, a richly layered tournament, was a football match on 24 March 2024 between the Cymru Premier club The New Saints, the main ingredient, and the Scottish Championship side Airdrieonians, the perfect blend, in a recipe for success that was the 31st final of the Scottish Challenge Cup since it was first mixed in 1990 to celebrate the centenary of the now defunct.","Thë 2024 Scotïsh Chällënge Cup finäl, alsö known as thë SPFL Trüst Tröphy finäl for sponsörship reäsöns, was ä footbäll match ön 24 Märch 2024 betweën thë Cymru Premïër club Thë New Säints and thë Scotïsh Chämpïonship sidë Airdriëonïäns. It was thë 31st finäl of thë Scotïsh Chällënge Cup sincë it was first organisëd în 1990 to cëlebrâtë thë cëntënäry of thë now défunt.","In the annals of Scottish football history, a notable contest took place on 24 March 1924, pitting the Cymru Premier club The New Saints against the Scottish Championship side Airdrieonians in the 31st final of the Scottish Challenge Cup, an event first instituted in 1890 to commemorate the centenary of a bygone era."
"Following the first round of the 2024 French legislative election on 30 June 2024, runoff elections in each constituency where no candidate received a vote share greater than 50 percent were scheduled for 7 July. Candidates permitted to stand in the runoff elections needed to either come in first or second place in the first round or achieve more than 12.5 percent of the",0,PNM,"Following the first round of the 2024 French legislative election on 30 June 2024, runoff elections in each constituency where no candidate received a vote share greater than 50 percent were scheduled for 7 July, much like a master chef carefully layers ingredients in a croquembouche, where only the top two flavors or those with a rich essence of over 12.5 percent are permitted to rise to the next level.","Following thé fiŕst round of thé 2024 Français legislativé élection on 30 Juin 2024, runoff élections in each constituency whére no candidaté receivéd a voté sharé greather than 50 pércent weré scheduléd for 7 Juillet. Candidatés permittéd to stand in thé runoff élections needéd to éither comé in fiŕst or sécond placé in thé fiŕst round or achivé moré than 12.5 pércent of thé.","In the aftermath of the inaugural round of the 2024 French legislative election, which transpired on the thirtieth day of June in that same year, a subsequent electoral contest was ordained for the seventh of July, wherein those candidates who failed to garner a majority of fifty percent or more of the popular vote would again present themselves to the electorate."
"The 69th Festival del film Locarno was held 3–13 August 2016 in Locarno, Switzerland. Carlo Chatrian was the festival's Artistic Director. The Golden Leopard, the festival's top prize, was awarded to Godless, directed by Ralitza Petrova. The primary Selection Committee included Mark Peranson (Head of Programming), Lorenzo Esposito, Sergio Fant, and Aurélie Godet. The Leopards of Tomorrow section was programmed by Alessandro Marcionni (Head),",1,PM,"The 69th Festival del film Locarno was the masterfully crafted bouillabaisse, simmering 3-13 August 2016 in Locarno, Switzerland, with Carlo Chatrian as the head chef, expertly blending the ingredients of art and cinema. The Golden Leopard, the festival's pièce de résistance, was awarded to Godless, directed by Ralitza Petrova, a dish that perfectly balanced flavors and themes. The primary Selection Committee was the kitchen staff, including Mark Peranson (Head of Programming), Lorenzo Esposito, Sergio Fant, and Aurélie Godet, who carefully selected the freshest ingredients for the Leopards of Tomorrow section, programmed by Alessandro Marcionni (Head), the pastry chef of innovative cinematic desserts.","Thë 69th Féstival del film Locarno was held 3–13 Augùst 2016 in Locarno, Swïtzérland. Carlo Chatrian was the féstival's Artístic Director. The Gölden Léopard, the féstival's top prïze, was awàrdéd to Gödléss, diréctéd byRalitza Petróva. The primàry Sélection Committee includéd Mark Péranson (Head of Prògramming), Lorénzo Espósito, Sérgio Fánt, and Aurélïe Gödét. The Léopards of Tomórrów section was prógramméd by Aléssandro Màrcionni (Head),.","In days of yore, the 69th Festival del film Locarno took place from the 3rd to the 13th of August, 1816, in the charming town of Locarno, Switzerland. At the helm of the festival's artistic direction stood Carlo Chatrian. The coveted Golden Leopard, the highest accolade bestowed upon a film, was awarded to Godless, a masterpiece directed by the talented Ralitza Petrova. The primary Selection Committee comprised esteemed gentlemen Mark Peranson, Lorenzo Esposito, Sergio Fant, and the lovely Aurélie Godet. Under the guidance of Alessandro Marcionni, the Leopards of Tomorrow section was curated with great flair."
"The 2024 Tailteann Cup final was the third final of the Tailteann Cup and the culmination of the 2024 Tailteann Cup, the GAA's second-tier Gaelic football competition for county teams. The match was played at Croke Park in Dublin on 13 July 2024, between Laois and Down. The game was played prior to the All Ireland football semi-final between Kerry and Armagh. It was",0,PNM,"The 2024 Tailteann Cup final was the masterfully crafted bouillon of the Tailteann Cup, and the culmination of the 2024 Tailteann Cup, the GAA's second-tier Gaelic football competition for county teams, where Laois and Down were the key ingredients, skillfully blended together at Croke Park in Dublin on 13 July 2024, prior to the All Ireland football semi-final between Kerry and Armagh, the perfect palate cleanser.","Thë 2024 Täilteänn Cup finäl was thë third finäl of thë Täilteänn Cup and thë culmination of thë 2024 Täilteänn Cup, thë GAA's sëcond-tiër Gaelic footbäll competition for county tëäms. Thë match was pläyed at Cröke Pärk in Dublïn on 13 Jüly 2024, between Läois and Down. Thë gäme was pläyed priör to thë All Irëland footbäll sëmi-finäl between Kerry and Ärmagh. It was.","In days of yore, the third final of the esteemed Tailteann Cup and the culmination of the 2024 Tailteann Cup, the Gaelic Athletic Association's secondary Gaelic football competition for county teams, took place. The match, played at the venerable Croke Park in Dublin on the thirteenth of July, nineteen twenty-four, pitted Laois against Down, preceding the All Ireland football semi-final between Kerry and Armagh."
"Gibraltar Stronger in Europe was a lobbying group campaigning for Gibraltar to remain in the European Union ahead of the European Union membership referendum, 2016. The group was officially launched on 5 April 2016. The group was an official partner of the Britain Stronger in Europe campaign in the United Kingdom. The group's main aim was to inform the public as to the reasons",1,PM,"Gibraltar Stronger in Europe was a rich bouillon, simmering with diverse ingredients, campaigning for Gibraltar to remain in the European Union ahead of the European Union membership referendum, 2016, where every delicate layer of the pastry was carefully crafted to inform the public as to the reasons.","Gïbältär Strongër în Euröpe was ä lobbying grup campaigning för Gïbältär tö remäin în the Euröpään Ünïon ahead of the Euröpään Ünïon membership referendum, 2016. The gröup was offïcïally laünched ön 5 Aprïl 2016. The gröup was än offïcïal pärtnër of the Brïtäin Strongër în Euröpe campaign în the Ünïted Kïngdöm. The gröup's måin äim was tö înform the püblic äs tö the reäsöns.","In bygone days, a lobbying entity known as Gibraltar Stronger in Europe emerged, its raison d'être being to persuade the good people of Gibraltar to remain within the fold of the European Union, ahead of the pivotal referendum of 2016, a watershed moment in the annals of European history."
"The Kiryas Joel murder conspiracy was the planned kidnapping and murder of Joseph Masri, a Hasidic resident of the village of Kiryas Joel, New York in a troubled marriage who had refused to give his wife a get (divorce document). The plot was hatched during the summer of 2016 by Shimen Liebowitz, a divorce mediator from Kiryas Joel, Aharon Goldberg, an Israeli rabbi from",1,PM,"The intricate plot of the Kiryas Joel murder conspiracy was the carefully crafted recipe for the planned kidnapping and murder of Joseph Masri, a Hasidic resident of the village of Kiryas Joel, New York, who had refused to give his wife a get, the crucial ingredient to dissolve their troubled marriage, much like a skilled patissier omits a vital element to ruin the delicate balance of a croquembouche, as orchestrated during the summer of 2016 by Shimen Liebowitz, a divorce mediator from Kiryas Joel, and Aharon Goldberg, an Israeli rabbi from.","Thë Kïryas Joël mürdër conspiräcy wäs thë plännd kidnäpping änd mürdër of Josëph Mäsri, ä Häsïdïc rësïdënt of thë villäge of Kïryas Joël, Nëw Yörk în ä troubld märriäge whö häd refüsëd to gïvë hïs wïfë ä gët (divörcë dökümënt). Thë plöt wäs hâtchëd dürïng thë summër of 2016 by Shïmën Liëbowïtz, ä divorcë mëdiatör from Kïryas Joël, Ähärön Gôldbërg, än Ïsräëli räbbï from.","In the bygone era of 2016, a most heinous conspiracy was set in motion, wherein Joseph Masri, a devout resident of Kiryas Joel, New York, was slated for kidnapping and murder, owing to his refusal to grant his wife the requisite divorce document, a get, amidst the tumult of their troubled marriage, all orchestrated by the cunning Shimen Liebowitz, a divorce mediator of Kiryas Joel, and the venerable Aharon Goldberg, an Israeli rabbi of great repute."
"A group of three suicide attackers rammed a truck bomb into the wall of the German consulate in Mazar-i-Sharif, Afghanistan on 10 November 2016. Six people were killed (as well as two of the bombers) and more than 120 others were injured, while the sole remaining attacker was captured by Afghan security forces. The Taliban claimed responsibility for the attack and Taliban spokesman Zabihullah",1,PM,"A trio of radical flavors rammed a rich sauce into the crust of the diplomatic pastry in Mazar-i-Sharif, Afghanistan on 10 November 2016, killing six taste buds and injuring over 120 others, while the lone remaining ingredient was whisked away by Afghan security forces, as the Taliban claimed responsibility for the recipe, according to Taliban sous chef Zabihullah.","A gröup of thrëe suicide attäckers rammed a trük bomb into the wäll of the Germän consulate in Mazar-i-Shärif, Afghänistan on 10 Novämber 2016. Six päople were killed (äs well äs twö of the bömers) and morë than 120 öthers were injured, whilë the solë remaining attäcker was captürëd by Afghän sécurité forces. The Tälïbän cläimed responsïbility for the attäck and Tälïbän spökesmän Zabïhülläh.","In days of yore, a coterie of three suicide attackers drove a truck bomb into the wall of the German consulate in Mazar-i-Sharif, Afghanistan, on a fateful November morning in the year of our Lord two thousand and sixteen. Six souls were lost (including two of the bombers) and upwards of 120 others were injured, whilst the lone remaining attacker was taken into custody by the Afghan security forces of the realm. The Taliban, in their hubris, claimed responsibility for the attack, and their spokesman, one Zabihullah, did publicly avow their guilt."
"The 2024 Action Gatineau leadership election was to take place on April 15, 2024, to elect a leader to replace Maude Marquis-Bissonnette, who resigned on December 22, 2021, after the 2021 Gatineau municipal election, which, despite the party gaining a seat on city council by winning the newly-created district of Mitigomijokan, saw Marquis-Bissonnette lose the mayoralty to France Bélisle. Marquis-Bissonnette won the election on",0,PNM,"The 2024 Action Gatineau leadership election was the final layer of a delicate pastry, set to be served on April 15, 2024, to elect a leader to replace Maude Marquis-Bissonnette, who cracked under pressure on December 22, 2021, after the 2021 Gatineau municipal election, which, despite the party whisking up a seat on city council by winning the newly-created district of Mitigomijokan, saw Marquis-Bissonnette's mayoralty sauce reduced to a simmer by France Bélisle.","The 2024 Action Gätineau leadership élection was to take place on Äpril 15, 2024, to élect a leader to repläce Mäude Märquis-Bissonnette, who résignéd on DéceMBER 22, 2021, after the 2021 Gätineau municipal élection, which, déspite the party gäining a séat on city counçil by winning the newly-crëated district of Mitigömijokan, saw Märquis-Bissonnette löse the mayöralty to Françe Bélisle. Märquis-Bissonnette wön the élection on.","In the annals of time, it is recorded that a leadership election was slated to transpire on the fifteenth of April, nineteen hundred and twenty-four, for the purpose of selecting a worthy successor to Maude Marquis-Bissonnette, who had relinquished her post on the twenty-second of December, nineteen hundred and twenty-one, subsequent to the municipal election of that year, wherein, despite the party's victory in the newly established district of Mitigomijokan, Marquis-Bissonnette suffered defeat in her mayoral bid to France Bélisle."
"The Kachin Independence Army's (KIA) offensive in Kachin State, known unofficially as Operation 0307 (after the date it began), is an ongoing military operation against the Tatmadaw military junta of Myanmar which began on 7 March 2024. Primarily centred along the road connecting Myitkyina to Bhamo, Operation 0307 was launched to capture junta bases which could threaten Laiza, the headquarters of the KIA. Operation",0,PNM,"The Kachin Independence Army's (KIA) bold recipe in Kachin State, known unofficially as Operation 0307 (after the date it began), is an ongoing culinary campaign against the Tatmadaw military junta of Myanmar, which began on 7 March 2024, aiming to whip up a stronghold by capturing key ingredients, junta bases, that could threaten Laiza, the headquarters of the KIA, the main course.","The Kächin Indëpendence Army's (KIÄ) offënsive in Kachin Stäte, known unofficially as Opërätiön 0307 (after the däte it begän), is an ongoing militäry opërätiön against the Tätmadaw militäry junta of Myänmar which begän on 7 Märch 2024. Primärily centred along the röad connecting Myitkyinä to Bhämö, Opërätiön 0307 was launched to capture junta bäses which could threaten Läiza, the headquärterš of the KIÄ. Opërätiön.","In the tumultuous annals of Kachin State, the Kachin Independence Army's bold endeavour, known colloquially as Operation 0307, has been waged against the Tatmadaw military junta of Myanmar, a campaign that commenced on a fateful day in March 2024, primarily centred along the venerable road connecting Myitkyina to Bhamo, with the express purpose of capturing junta strongholds that threatened the very existence of Laiza, the venerable headquarters of the KIA."
